model,repeat,accuracy,precision,recall,f1,macro_f1,roc_auc,pr_auc,balanced_accuracy,brier
ET,4,0.9540816326530612,1.0,0.7857142857142857,0.88,0.9258044164037855,0.9990723562152134,0.9964663715052344,0.8928571428571428,0.02105615729543269
GB,4,0.9489795918367347,0.8076923076923077,1.0,0.8936170212765957,0.930029987148365,0.9965986394557823,0.9873595032655653,0.9675324675324675,0.038095866945720896
KNN,4,0.9285714285714286,1.0,0.6666666666666666,0.8,0.8782608695652174,0.9953617810760668,0.988610595753453,0.8333333333333333,0.03281939490483425
Ensemble,4,0.9489795918367347,0.8076923076923077,1.0,0.8936170212765957,0.930029987148365,1.0,1.0,0.9675324675324675,0.02262693425805652
LR,5,0.7193877551020408,0.43157894736842106,0.9761904761904762,0.5985401459854015,0.6914269357377988,0.9768089053803339,0.9482736716297135,0.8127705627705628,0.08307991524072077
SVM,5,0.8775510204081632,0.6363636363636364,1.0,0.7777777777777778,0.8466353677621283,0.9952071737786023,0.9870702542753268,0.922077922077922,0.052808697655472296
RF,5,0.8928571428571429,0.6666666666666666,1.0,0.8,0.8634146341463416,0.9942795299938157,0.979702519130722,0.9318181818181819,0.04776096837094643
ET,5,0.8112244897959183,0.5316455696202531,1.0,0.6942148760330579,0.7788417553597023,0.9998453927025356,0.9994462901439646,0.8798701298701299,0.04663903989720541
GB,5,0.9336734693877551,0.7636363636363637,1.0,0.865979381443299,0.9109557924165648,0.9918058132343847,0.9687138674160296,0.9577922077922079,0.037840072238156615
KNN,5,0.6530612244897959,0.38181818181818183,1.0,0.5526315789473685,0.6346491228070176,0.9986085343228202,0.9953356697188236,0.7792207792207793,0.0374631394028138
Ensemble,5,0.8520408163265306,0.5915492957746479,1.0,0.7433628318584071,0.819710089764329,0.9967532467532468,0.9889174492550996,0.9058441558441559,0.040585257225972414
LR,6,0.8979591836734694,0.975609756097561,0.8163265306122449,0.8888888888888888,0.8972746331236897,0.9537692628071637,0.9611674123586993,0.8979591836734694,0.0740613204638
SVM,6,0.8877551020408163,0.9222222222222223,0.8469387755102041,0.8829787234042553,0.8875677930746767,0.9460641399416909,0.9438346469273773,0.8877551020408163,0.09640776887198581
RF,6,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.9282051282051282,0.973344439816743,0.9799113193256731,0.9285714285714286,0.05612045410234417
ET,6,0.923469387755102,1.0,0.8469387755102041,0.9171270718232044,0.9230185122149197,0.9805289462723865,0.9852295536102738,0.9234693877551021,0.05233955385138763
GB,6,0.923469387755102,1.0,0.8469387755102041,0.9171270718232044,0.9230185122149197,0.9617867555185339,0.9724565051857563,0.9234693877551021,0.061788163908502336
KNN,6,0.9132653061224489,1.0,0.826530612244898,0.9050279329608939,0.912607863194062,0.9591316118284048,0.9697957111703805,0.9132653061224489,0.06180714863561442
Ensemble,6,0.9285714285714286,1.0,0.8571428571428571,0.9230769230769231,0.9282051282051282,0.9768846314035818,0.9825813089208286,0.9285714285714286,0.05575084478188087
LR,7,0.6989795918367347,0.6666666666666666,0.7959183673469388,0.7255813953488373,0.6961240310077519,0.8255935027072053,0.8889239437913453,0.6989795918367347,0.15951246058442142
SVM,7,0.7704081632653061,0.797752808988764,0.7244897959183674,0.7593582887700535,0.7699230468240512,0.8433985839233653,0.8920827058259735,0.7704081632653061,0.14603197734731557
RF,7,0.826530612244898,0.872093023255814,0.7653061224489796,0.8152173913043478,0.8258779264214047,0.8851520199916701,0.9178052124759067,0.8265306122448979,0.14050290012909553
ET,7,0.7448979591836735,0.7222222222222222,0.7959183673469388,0.7572815533980582,0.7442321745484914,0.8889004581424407,0.9170638646873157,0.7448979591836735,0.13322633119894933
GB,7,0.5,0.5,1.0,0.6666666666666666,0.3333333333333333,0.8606830487296958,0.9059814698740236,0.5,0.15127272638614206
KNN,7,0.8316326530612245,0.9333333333333333,0.7142857142857143,0.8092485549132948,0.8292818117032228,0.8482403165347773,0.8604667162226807,0.8316326530612246,0.14365301682810605
Ensemble,7,0.7755102040816326,0.75,0.826530612244898,0.7864077669902912,0.7749243136026724,0.8892128279883382,0.9174719556008614,0.7755102040816326,0.13869520315784087
LR,8,0.8673469387755102,0.6904761904761905,0.6904761904761905,0.6904761904761905,0.803030303030303,0.9254792826221397,0.842531287832255,0.803030303030303,0.13747703008261297
SVM,8,0.923469387755102,0.8648648648648649,0.7619047619047619,0.810126582278481,0.8811016297973875,0.9621212121212122,0.8926006895170111,0.8647186147186148,0.09624321630479522
RF,8,0.8469387755102041,0.6764705882352942,0.5476190476190477,0.6052631578947368,0.7551632245169887,0.8789424860853432,0.7574508411100043,0.7380952380952381,0.10112161752231985
ET,8,0.8112244897959183,0.5471698113207547,0.6904761904761905,0.6105263157894737,0.7429735956051746,0.9058441558441559,0.7806993691750067,0.7673160173160173,0.1028807144668656
GB,8,0.8571428571428571,0.7333333333333333,0.5238095238095238,0.6111111111111112,0.7618055555555556,0.87082560296846,0.7473439234562355,0.7359307359307359,0.10531585297546217
KNN,8,0.8214285714285714,0.574468085106383,0.6428571428571429,0.6067415730337079,0.7456150109392963,0.8164038342609772,0.7230018724244001,0.7564935064935066,0.09838324476898816
Ensemble,8,0.8673469387755102,0.7666666666666667,0.5476190476190477,0.6388888888888888,0.7788194444444444,0.8894557823129252,0.7687030144198241,0.7510822510822511,0.10185206440165366
LR,9,0.8775510204081632,1.0,0.42857142857142855,0.6,0.763855421686747,0.8124613481756339,0.7591388750045451,0.7142857142857143,0.1729119679799824
SVM,9,0.9387755102040817,1.0,0.7142857142857143,0.8333333333333334,0.8979166666666667,0.9446505875077303,0.9029229202408265,0.8571428571428572,0.05536927006662999
RF,9,0.8979591836734694,0.7391304347826086,0.8095238095238095,0.7727272727272727,0.8534688995215312,0.9554730983302412,0.8761687602375976,0.8658008658008658,0.06859492880257503
ET,9,0.9030612244897959,0.7169811320754716,0.9047619047619048,0.8,0.868013468013468,0.9760358688930117,0.9445491316737037,0.9036796536796536,0.047777095957350635
GB,9,0.8724489795918368,0.6976744186046512,0.7142857142857143,0.7058823529411765,0.8122245640927381,0.9163574520717378,0.8208279545115803,0.814935064935065,0.08732785390573071
KNN,9,0.9132653061224489,0.9629629629629629,0.6190476190476191,0.7536231884057971,0.8504958047292144,0.9414038342609772,0.8827956619402739,0.8062770562770563,0.0636094262220715
Ensemble,9,0.9132653061224489,0.7551020408163265,0.8809523809523809,0.8131868131868132,0.8783542039355993,0.9602659245516387,0.8948693167524633,0.9015151515151515,0.06419838246909812
LR,10,0.7346938775510204,0.5918367346938775,0.8285714285714286,0.6904761904761905,0.7291666666666667,0.8376417233560092,0.8666626596392641,0.7555555555555555,0.15789391700700173
SVM,10,0.9030612244897959,1.0,0.7285714285714285,0.8429752066115702,0.8864322527522795,0.9494331065759638,0.9426839329721184,0.8642857142857143,0.069889855738396
RF,10,0.9030612244897959,0.9636363636363636,0.7571428571428571,0.848,0.8884194756554307,0.9817460317460318,0.9710162151378376,0.8706349206349207,0.056909388078512646
ET,10,0.8979591836734694,0.890625,0.8142857142857143,0.8507462686567164,0.8866134444058775,0.9604308390022676,0.9432656602766313,0.8793650793650793,0.078133112201717
GB,10,0.8979591836734694,0.9464285714285714,0.7571428571428571,0.8412698412698413,0.8830409356725146,0.9393424036281179,0.9256792287121585,0.8666666666666667,0.09731949625220648
KNN,10,0.9081632653061225,0.8421052631578947,0.9142857142857143,0.8767123287671232,0.901770798529903,0.9798185941043084,0.960518589457737,0.9095238095238095,0.076237776936432
Ensemble,10,0.8928571428571429,0.9454545454545454,0.7428571428571429,0.832,0.8766741573033707,0.9724489795918367,0.9575260712500269,0.8595238095238096,0.07181361084032727
LR,11,0.8367346938775511,0.7375,0.8428571428571429,0.7866666666666666,0.8272176308539945,0.871655328798186,0.8938689021761016,0.8380952380952381,0.14933144374782623
SVM,11,0.8520408163265306,0.7733333333333333,0.8285714285714286,0.8,0.8412955465587044,0.919387755102041,0.9162749169420961,0.8468253968253969,0.08276008404434591
RF,11,0.7806122448979592,0.6194690265486725,1.0,0.7650273224043715,0.7796428478050565,0.9717120181405895,0.954580996926656,0.8293650793650793,0.07002821291800253
ET,11,0.8622448979591837,0.7415730337078652,0.9428571428571428,0.8301886792452831,0.8571544254595513,0.9726757369614514,0.960338072637094,0.8801587301587301,0.06266044031814276
GB,11,0.9030612244897959,0.8591549295774648,0.8714285714285714,0.8652482269503546,0.894775507897488,0.9731292517006802,0.9632246399898946,0.896031746031746,0.06974277365977276
KNN,11,0.826530612244898,0.7195121951219512,0.8428571428571429,0.7763157894736842,0.8173245614035087,0.9319160997732426,0.9150689181186162,0.8301587301587301,0.08048179170567171
Ensemble,11,0.826530612244898,0.6730769230769231,1.0,0.8045977011494253,0.8243171991985658,0.9768707482993197,0.9649397660959047,0.8650793650793651,0.06235373466398995
LR,12,0.8979591836734694,0.975609756097561,0.8163265306122449,0.8888888888888888,0.8972746331236897,0.9150354019158683,0.9412030344792122,0.8979591836734694,0.25381449629169517
SVM,12,0.8928571428571429,0.9230769230769231,0.8571428571428571,0.8888888888888888,0.89272030651341,0.9199291961682633,0.9452914400991529,0.8928571428571428,0.11047806717043294
